,N_S,N_W,S_N,S_W,W_N,W_S
236,31.12775,19.935196,44.59748,4.205921,14.159723,7.5422955
237,31.043705,20.693026,44.66826,4.1136837,13.973094,7.8798795
238,30.79059,22.071846,44.5519,3.8891604,13.474298,7.994501
239,30.617447,22.953497,44.713684,3.862378,13.045829,7.8757057
240,30.511179,23.494415,44.911343,3.68818,12.919378,7.819523
241,30.103037,23.74035,44.74669,3.4950628,12.727105,7.5420513
242,29.724636,23.731964,44.486614,3.561615,12.49633,7.30229
243,29.55381,24.548737,44.418976,3.6814594,12.67012,7.1942306
244,28.818707,25.320179,44.35056,3.672243,12.456754,7.072123
245,27.909828,25.556032,43.995155,3.6414537,12.086113,6.9498515
246,27.287275,25.378069,42.931023,3.7557487,11.787231,6.6880693
247,27.568861,25.406042,42.4318,3.6339092,11.989849,6.7245445
248,27.121042,25.162113,42.017265,3.5867894,11.835132,6.617384
249,26.936054,24.945856,41.910957,3.639057,11.75723,6.435196
250,27.00679,24.966099,41.668724,3.8048844,11.566267,6.5366936
251,26.660566,24.935991,41.29197,3.7594361,11.31797,6.5330634
252,26.075949,24.333683,40.869907,3.545803,11.110344,6.3696685
253,26.316687,23.938173,40.802773,3.5444202,11.656298,6.3163824
254,26.554264,23.71574,40.88607,3.4613366,12.185316,6.078369
255,27.09049,23.968311,41.27229,3.6545947,13.080372,6.2821293
256,27.296362,24.59283,41.197876,3.68429,13.448121,6.251072
257,27.904438,24.970243,41.460632,3.6188056,13.883431,6.3422337
258,28.186914,25.064423,41.88618,3.6048968,13.798863,6.3930383
259,28.699898,25.505886,42.456535,3.5727813,13.891009,6.471284
260,29.59962,26.156713,43.4164,3.6908383,14.627798,6.616721
261,30.338867,26.428265,43.813747,3.7908924,14.9599285,7.1012716
262,30.961058,27.309036,44.449997,3.7110326,15.209814,7.306745
263,31.176226,27.668568,44.45121,3.5253508,15.044625,7.868877
264,31.385715,27.5944,44.289486,3.3917508,14.899064,8.025106
265,31.323242,26.778996,44.284245,3.2460551,14.698112,7.98041
266,31.22478,26.514242,44.49356,3.2064526,14.651341,8.088784
267,30.942688,26.151207,44.10262,3.1328268,14.239491,8.346833
268,31.281937,26.435936,44.407387,3.248741,14.532238,8.625823
269,31.404352,26.890135,44.84645,3.3235002,14.388761,8.788221
270,31.461397,27.202448,44.93448,3.5760348,14.230786,8.707148
271,31.262133,26.970428,44.760475,3.7744446,13.963995,8.641631
272,30.682703,25.97789,44.479736,3.9805741,13.485495,8.316119
273,30.129805,25.192595,44.356525,3.955951,12.998604,7.8562064
274,30.17837,24.939344,44.771347,3.8427954,12.978378,7.240622
275,29.527187,24.785349,44.89541,3.8397496,12.653397,6.7939897
276,29.183321,25.794733,45.384647,3.7997966,12.941517,6.6339946
277,28.450726,25.612062,44.694656,3.6864111,12.901144,6.729374
278,27.8241,25.309278,43.808968,3.6951697,12.826434,6.9861836
279,27.587107,25.241543,43.439354,3.7273872,13.149619,7.056979
280,27.652628,25.33676,43.46634,3.721312,13.415585,7.172366
281,28.272827,25.160032,43.757164,3.637181,13.884649,7.1971645
282,28.166992,24.689829,43.86385,3.6691458,13.843365,7.333142
283,28.438763,23.964083,43.724953,3.7704906,13.748423,7.4717894
284,28.207445,23.375183,42.99001,3.8028412,13.394173,7.344395
285,28.776167,23.204712,43.042152,3.7952564,13.724456,7.3192363
286,28.876932,23.63283,42.89303,3.974631,13.549825,7.474041
287,29.712528,24.091879,43.186813,3.927032,13.962502,7.3515606
